Brand,Price,Launch Year,OS,CPU,CPU Architecture,RAM,Display Type,Screen Size,Screen to Body Ratio,Touch Screen,Refresh Rate,Height,Width,Thickness,Weight,Material,Camera Setup,Camera Autofocus,Camera Flash,Image Resolution,Capacity,Battery Type,Removable Battery,Quick Charging,USB Type-C,Internal Memory,Expandable Memory,User Available Storage,Storage Type,SIM Slot(s),Network Support,VoLTE,Wi-Fi,Bluetooth,GPS,NFC,FM Radio,Loudspeaker,Fingerprint Sensor,Waterproof,Wireless Charging,Heart Rate Monitor
Samsung,"17,999","February 16, 2021 (Official)",Android v11,"Octa core (2.73 GHz, Dual core + 2.4 GHz, Dual core, Cortex A75 + 1.95 GHz, Quad core, Cortex A55)",64 bit,"6 GB
                                                                                        
             








Best in Class            
▾",Super AMOLED Plus,6.7 inches (17.02 cm),86.66 %,"Yes, Capacitive Touchscreen, Multi-touch",60 Hz,"163.9 mm
                                                                                                                                                Compare Size",76.3 mm,"9.5 mm
                                                                                                                                                                                    
             








Average            
▾","218 grams
                                                                                                                                                                                    
             








Poor            
▾",Back: Plastic,Single,No,No,9000 x 7000 Pixels,7000 mAh,Li-ion,No,"Yes, Fast, 25W",Yes,"128 GB
                                                                                        
             








Best in Class            
▾","Yes, Up to 1 TB",Up to 103 GB,UFS 2.1,"Dual SIM, GSM+GSM","4G (supports Indian bands), 3G, 2G",Yes,"Yes, Wi-Fi 802.11, ac/b/g/n/n 5GHz","Yes, v5.0","Yes with A-GPS, Glonass",Yes,"Yes, Recording option",Yes,Yes,,,
Xiaomi,"11,999","September 7, 2021 (Official)",Android v11,"Octa core (2 GHz, Dual core, Cortex A75 + 1.8 GHz, Hexa Core, Cortex A55)",64 bit,"4 GB
                                                                                        
             








Excellent            
▾",IPS LCD,6.5 inches (16.51 cm),83.45 %,"Yes, Capacitive Touchscreen, Multi-touch",90 Hz,"161.9 mm
                                                                                                                                                Compare Size",75.5 mm,"9.5 mm
                                                                                                                                                                                    
             








Average            
▾","192 grams
                                                                                                                                                                                    
             








Below Average            
▾",,Single,Yes,"Yes, LED Flash",8150 x 6150 Pixels,6000 mAh,Li-Polymer,No,"Yes, Fast, 18W",Yes,"64 GB
                                                                                        
             








Best in Class            
▾","Yes, Up to 512 GB",,eMMC 5.1,"Dual SIM, GSM+GSM, Dual VoLTE","4G (supports Indian bands), 3G, 2G",Yes,"Yes, Wi-Fi 802.11, a/ac/b/g/n/n 5GHz","Yes, v5.1","Yes with A-GPS, Glonass",No,Yes,Yes,Yes,"Yes, Splash proof",,
Samsung,"12,999","June 28, 2021 (Official)",Android v11,"Octa core (2 GHz, Dual core, Cortex A75 + 1.8 GHz, Hexa Core, Cortex A55)",64 bit,"4 GB
                                                                                        
             








Excellent            
▾",Super AMOLED,6.4 inches (16.26 cm),83.89 %,"Yes, Capacitive Touchscreen, Multi-touch",90 Hz,"159.3 mm
                                                                                                                                                Compare Size",74 mm,"9.3 mm
                                                                                                                                                                                    
             








Average            
▾","196 grams
                                                                                                                                                                                    
             








Below Average            
▾",Back: Plastic,Single,No,No,9000 x 7000 Pixels,6000 mAh,Li-ion,No,"Yes, Fast, 25W",Yes,"64 GB
                                                                                        
             








Best in Class            
▾","Yes, Up to 1 TB",Up to 45.5 GB,eMMC 5.1,"Dual SIM, GSM+GSM","4G (supports Indian bands), 3G, 2G",Yes,"Yes, Wi-Fi 802.11, a/ac/b/g/n/n 5GHz","Yes, v5.0","Yes with A-GPS, Glonass",No,,Yes,Yes,,,
Realme,"13,199","September 11, 2021 (Official)",Android v11,"Octa core (2.05 GHz, Dual core, Cortex A76 + 2 GHz, Hexa Core, Cortex A55)",64 bit,"4 GB
                                                                                        
             








Excellent            
▾",IPS LCD,6.6 inches (16.76 cm),84.88 %,"Yes, Capacitive Touchscreen, Multi-touch",120 Hz,"164.1 mm
                                                                                                                                                Compare Size",75.5 mm,"8.5 mm
                                                                                                                                                                                    
             








Very Good            
▾","194 grams
                                                                                                                                                                                    
             








Below Average            
▾",,Single,"Yes, Phase Detection autofocus","Yes, Screen flash",8150 x 6150 Pixels,5000 mAh,Li-ion,No,"Yes, Quick, 18W: 50 % in 36 minutes",Yes,"64 GB
                                                                                        
             








Best in Class            
▾","Yes, Up to 256 GB",,UFS 2.1,"Dual SIM, GSM+GSM","4G (supports Indian bands), 3G, 2G",Yes,"Yes, Wi-Fi 802.11, a/ac/b/g/n/n 5GHz","Yes, v5.1","Yes with A-GPS, Glonass",No,,Yes,Yes,,,
Xiaomi,"13,999","May 15, 2021 (Official)",Android v11,"Octa core (2.05 GHz, Dual core, Cortex A76 + 2 GHz, Hexa Core, Cortex A55)",64 bit,"6 GB
                                                                                        
             








Best in Class            
▾",AMOLED,6.43 inches (16.33 cm),83.53 %,"Yes, Capacitive Touchscreen, Multi-touch",60 Hz,"160.4 mm
                                                                                                                                                Compare Size",74.5 mm,"8.2 mm
                                                                                                                                                                                    
             








Very Good            
▾","178.8 grams
                                                                                                                                                                                    
             








Average            
▾",Back: Plastic,Single,Yes,"Yes, LED Flash",9000 x 7000 Pixels,5000 mAh,Li-Polymer,No,"Yes, Fast, 33W: 54 % in 30 minutes",Yes,"64 GB
                                                                                        
             








Best in Class            
▾","Yes, Up to 512 GB",,UFS 2.2,"Dual SIM, GSM+GSM","4G (supports Indian bands), 3G, 2G",Yes,"Yes, Wi-Fi 802.11, ac/b/g/n/n 5GHz","Yes, v5.0","Yes with A-GPS, Glonass",No,,Yes,Yes,"Yes, Splash proof, IP53",,
POCO,"16,999","April 6, 2021 (Official)",Android v11,"Octa core (2.96 GHz, Single core, Kryo 485 + 2.42 GHz, Tri core, Kryo 485 + 1.8 GHz, Quad core, Kryo 485)",64 bit,"6 GB
                                                                                        
             








Best in Class            
▾",IPS LCD,6.67 inches (16.94 cm),84.61 %,"Yes, Capacitive Touchscreen, Multi-touch",120 Hz,"165.3 mm
                                                                                                                                                Compare Size",76.8 mm,"9.4 mm
                                                                                                                                                                                    
             








Average            
▾","215 grams
                                                                                                                                                                                    
             








Poor            
▾",,Single,Yes,"Yes, LED Flash",8000 x 6000 Pixels,5160 mAh,Li-Polymer,No,"Yes, Fast, 33W: 100 % in 59 minutes",Yes,"128 GB
                                                                                        
             








Best in Class            
▾","Yes, Up to 1 TB",,UFS 3.1,"Dual SIM, GSM+GSM","4G (supports Indian bands), 3G, 2G",Yes,"Yes, Wi-Fi 802.11, a/ac/b/g/n/n 5GHz, MIMO","Yes, v5.0","Yes with A-GPS, Glonass",,"Yes, Recording option",Yes,Yes,"Yes, Splash proof, IP53",,
Xiaomi,"13,999","March 16, 2021 (Official)",Android v11,"Octa core (2.2 GHz, Dual core, Kryo 460 + 1.7 GHz, Hexa Core, Kryo 460)",64 bit,"4 GB
                                                                                        
             








Excellent            
▾",Super AMOLED,6.43 inches (16.33 cm),83.53 %,"Yes, Capacitive Touchscreen, Multi-touch",,"160.4 mm
                                                                                                                                                Compare Size",74.5 mm,"8.3 mm
                                                                                                                                                                                    
             








Very Good            
▾","178.8 grams
                                                                                                                                                                                    
             








Average            
▾",,Single,Yes,"Yes, LED Flash",8000 x 6000 Pixels,5000 mAh,Li-Polymer,No,"Yes, Fast, 33W: 100 % in 74 minutes",Yes,"64 GB
                                                                                        
             








Best in Class            
▾","Yes, Up to 512 GB",,UFS 2.2,"Dual SIM, GSM+GSM, Dual VoLTE","4G (supports Indian bands), 3G, 2G",Yes,"Yes, Wi-Fi 802.11, a/ac/b/g/n","Yes, v5.0","Yes with A-GPS, Glonass",No,,Yes,Yes,"Yes, Splash proof, IP53",,
POCO,"11,499","February 3, 2021 (Official)",Android v10 (Q),"Octa core (2 GHz, Quad core, Kryo 260 + 1.8 GHz, Quad core, Kryo 260)",64 bit,"6 GB
                                                                                        
             








Best in Class            
▾",IPS LCD,6.53 inches (16.59 cm),83.25 %,"Yes, Capacitive Touchscreen, Multi-touch",60 Hz,"162.3 mm
                                                                                                                                                Compare Size",77.3 mm,"9.6 mm
                                                                                                                                                                                    
             








Average            
▾","197 grams
                                                                                                                                                                                    
             








Below Average            
▾",Back: Plastic,Single,Yes,No,8000 x 6000 Pixels,6000 mAh,Li-Polymer,No,"Yes, Fast, 18W",Yes,"64 GB
                                                                                        
             








Best in Class            
▾","Yes, Up to 512 GB",Up to 47.4 GB,UFS 2.1,"Dual SIM, GSM+GSM","4G (supports Indian bands), 3G, 2G",Yes,"Yes, Wi-Fi 802.11, a/ac/b/g/n/n 5GHz","Yes, v5.0","Yes with A-GPS, Glonass",No,Yes,Yes,Yes,"Yes, Splash proof",,
Xiaomi,"17,999","March 17, 2021 (Official)",Android v11,"Octa core (2.3 GHz, Dual core, Kryo 470 + 1.8 GHz, Hexa Core, Kryo 470)",64 bit,"6 GB
                                                                                        
             








Best in Class            
▾",Super AMOLED,6.67 inches (16.94 cm),85.8 %,"Yes, Capacitive Touchscreen, Multi-touch",120 Hz,"164.5 mm
                                                                                                                                                Compare Size",76.1 mm,"8.1 mm
                                                                                                                                                                                    
             








Very Good            
▾","192 grams
                                                                                                                                                                                    
             








Below Average            
▾",,Single,Yes,"Yes, LED Flash",9000 x 7000 Pixels,5020 mAh,Li-Polymer,No,"Yes, Fast, 33W: 100 % in 74 minutes",Yes,"64 GB
                                                                                        
             








Best in Class            
▾","Yes, Up to 512 GB",,UFS 2.2,"Dual SIM, GSM+GSM, Dual VoLTE","4G (supports Indian bands), 3G, 2G",Yes,"Yes, Wi-Fi 802.11, a/ac/b/g/n","Yes, v5.0","Yes with A-GPS, Glonass",No,,Yes,Yes,"Yes, Splash proof, IP53",,
Realme,"12,499","June 29, 2021 (Official)",Android v11,"Octa core (2.05 GHz, Dual core, Cortex A76 + 2 GHz, Hexa Core, Cortex A55)",64 bit,"4 GB
                                                                                        
             








Excellent            
▾",IPS LCD,6.5 inches (16.51 cm),83.36 %,"Yes, Capacitive Touchscreen, Multi-touch",90 Hz,"162.3 mm
                                                                                                                                                Compare Size",75.4 mm,"9.4 mm
                                                                                                                                                                                    
             








Average            
▾","192 grams
                                                                                                                                                                                    
             








Below Average            
▾",Back: Plastic,Single,"Yes, Phase Detection autofocus","Yes, LED Flash",8000 x 6000 Pixels,5000 mAh,Li-ion,No,"Yes, Dart, 30W: 100 % in 65 minutes",Yes,"64 GB
                                                                                        
             








Best in Class            
▾","Yes, Up to 256 GB",,UFS 2.1,"Dual SIM, GSM+GSM","4G (supports Indian bands), 3G, 2G",Yes,"Yes, Wi-Fi 802.11, a/ac/b/g/n","Yes, v5.0","Yes with A-GPS, Glonass",Yes,,Yes,Yes,,,
OPPO,"19,990","September 27, 2021 (Official)",Android v11,"Octa core (2 GHz, Quad core, Kryo 260 + 1.8 GHz, Quad core, Kryo 260)",64 bit,"6 GB
                                                                                        
             








Best in Class            
▾",AMOLED,6.43 inches (16.33 cm),84.38 %,"Yes, Capacitive Touchscreen, Multi-touch",60 Hz,"160.3 mm
                                                                                                                                                Compare Size",73.8 mm,"7.9 mm
                                                                                                                                                                                    
             








Very Good            
▾","175 grams
                                                                                                                                                                                    
             








Average            
▾",,Single,"Yes, Phase Detection autofocus","Yes, LED Flash",8000 x 6000 Pixels,5000 mAh,Li-Polymer,No,"Yes, Flash, 33W",Yes,"128 GB
                                                                                        
             








Best in Class            
▾","Yes, Up to 256 GB",,,"Dual SIM, GSM+GSM","4G (supports Indian bands), 3G, 2G",Yes,"Yes, Wi-Fi 802.11, ac/b/g/n/n 5GHz","Yes, v5.0","Yes with A-GPS, Glonass",,Yes,Yes,Yes,,,
Samsung,"9,499","March 17, 2021 (Official)",Android v11,"Octa core, 2 GHz, Cortex A55",64 bit,"4 GB
                                                                                        
             








Excellent            
▾",PLS TFT LCD,6.5 inches (16.51 cm),81.95 %,"Yes, Capacitive Touchscreen, Multi-touch",90 Hz,"164 mm
                                                                                                                                                Compare Size",75.9 mm,"9.7 mm
                                                                                                                                                                                    
             








Average            
▾","221 grams
                                                                                                                                                                                    
             








Poor            
▾",Back: Plastic,Single,No,No,8000 x 6000 Pixels,6000 mAh,Li-ion,No,"Yes, Fast, 15W",Yes,"64 GB
                                                                                        
             








Best in Class            
▾","Yes, Up to 1 TB",Up to 48 GB,eMMC 5.1,"Dual SIM, GSM+GSM","4G (supports Indian bands), 3G, 2G",Yes,"Yes, Wi-Fi 802.11, b/g/n","Yes, v5.0","Yes with A-GPS, Glonass",No,,Yes,Yes,,,
Realme,"11,499","September 24, 2021 (Official)",Android v11,"Octa core (2 GHz, Dual core, Cortex A75 + 1.8 GHz, Hexa Core, Cortex A55)",64 bit,"4 GB
                                                                                        
             








Excellent            
▾",IPS LCD,6.5 inches (16.51 cm),81.7 %,"Yes, Capacitive Touchscreen, Multi-touch",60 Hz,"164.5 mm
                                                                                                                                                Compare Size",75.9 mm,"9.6 mm
                                                                                                                                                                                    
             








Average            
▾","207 grams
                                                                                                                                                                                    
             








Poor            
▾",,Single,"Yes, Phase Detection autofocus","Yes, Screen flash",8150 x 6150 Pixels,6000 mAh,Li-ion,No,"Yes, Quick, 18W",Yes,"64 GB
                                                                                        
             








Best in Class            
▾","Yes, Up to 256 GB",,eMMC 5.1,"Dual SIM, GSM+GSM","4G (supports Indian bands), 3G, 2G",Yes,"Yes, Wi-Fi 802.11, a/ac/b/g/n","Yes, v5.0","Yes with A-GPS, Glonass",No,,Yes,Yes,,,
Vivo,"17,990","August 23, 2021 (Official)",Android v11,"Octa core (2 GHz, Dual core, Cortex A75 + 1.8 GHz, Hexa Core, Cortex A55)",64 bit,"8 GB
                                                                                        
             








Best in Class            
▾",IPS LCD,6.58 inches (16.71 cm),83.76 %,"Yes, Capacitive Touchscreen, Multi-touch",,"164.2 mm
                                                                                                                                                Compare Size",76 mm,"8 mm
                                                                                                                                                                                    
             








Very Good            
▾","182 grams
                                                                                                                                                                                    
             








Average            
▾",,Single,Yes,"Yes, Screen flash",8150 x 6150 Pixels,5000 mAh,Li-ion,No,"Yes, Fast, 18W",Yes,"128 GB
                                                                                        
             








Best in Class            
▾","Yes, Up to 1 TB",,,"Dual SIM, GSM+GSM","4G (supports Indian bands), 3G, 2G",Yes,"Yes, Wi-Fi 802.11, b/g/n/n 5GHz","Yes, v5.0","Yes with A-GPS, Glonass",,Yes,Yes,Yes,,,
Realme,"8,999","February 24, 2021 (Official)",Android v10 (Q),"Octa core (2 GHz, Dual core, Cortex A75 + 1.8 GHz, Hexa Core, Cortex A55)",64 bit,"3 GB
                                                                                        
             








Excellent            
▾",IPS LCD,6.5 inches (16.51 cm),81.7 %,"Yes, Capacitive Touchscreen, Multi-touch",60 Hz,"164.5 mm
                                                                                                                                                Compare Size",75.9 mm,"9.8 mm
                                                                                                                                                                                    
             








Average            
▾","207 grams
                                                                                                                                                                                    
             








Poor            
▾",,Single,"Yes, Phase Detection autofocus","Yes, LED Flash",4128 x 3096 Pixels,6000 mAh,Li-ion,No,"Yes, Fast, 18W",Yes,"32 GB
                                                                                        
             








Excellent            
▾","Yes, Up to 256 GB",,eMMC 5.1,"Dual SIM, GSM+GSM","4G (supports Indian bands), 3G, 2G",Yes,"Yes, Wi-Fi 802.11, a/ac/b/g/n","Yes, v5.0","Yes with A-GPS, Glonass",No,Yes,Yes,Yes,,,
Moto,"16,999","April 27, 2021 (Official)",Android v11,"Octa core (2.3 GHz, Dual core, Kryo 470 + 1.8 GHz, Hexa Core, Kryo 470)",64 bit,"6 GB
                                                                                        
             








Best in Class            
▾",IPS LCD,6.8 inches (17.27 cm),85.43 %,"Yes, Capacitive Touchscreen, Multi-touch",120 Hz,"169.6 mm
                                                                                                                                                Compare Size",75.9 mm,"9.8 mm
                                                                                                                                                                                    
             








Average            
▾","225 grams
                                                                                                                                                                                    
             








Poor            
▾",Back: Plastic,Single,Yes,"Yes, LED Flash",12000 x 9000 Pixels,6000 mAh,Li-Polymer,No,"Yes, Turbo Power, 20W",Yes,"128 GB
                                                                                        
             








Best in Class            
▾","Yes, Up to 1 TB",,UFS 2.1,"Dual SIM, GSM+GSM","4G (supports Indian bands), 3G, 2G",Yes,"Yes, Wi-Fi 802.11, a/ac/b/g/n","Yes, v5.0","Yes with A-GPS, Glonass",Yes,Yes,Yes,Yes,"Yes, Splash proof",,
Xiaomi,"9,999","August 6, 2020 (Official)",Android v10 (Q),"Octa core (2 GHz, Dual core, Cortex A75 + 1.8 GHz, Hexa Core, Cortex A55)",64 bit,"4 GB
                                                                                        
             








Excellent            
▾",IPS LCD,6.53 inches (16.59 cm),83.06 %,"Yes, Capacitive Touchscreen, Multi-touch",60 Hz,"163.3 mm
                                                                                                                                                Compare Size",77 mm,"9.1 mm
                                                                                                                                                                                    
             








Good            
▾","198 grams
                                                                                                                                                                                    
             








Below Average            
▾",Back: Plastic,Single,"Yes, Phase Detection autofocus","Yes, LED Flash",4128 x 3096 Pixels,5020 mAh,Li-ion,No,"Yes, Fast, 18W",Yes,"64 GB
                                                                                        
             








Best in Class            
▾","Yes, Up to 512 GB",,eMMC 5.1,"Dual SIM, GSM+GSM","4G (supports Indian bands), 3G, 2G",Yes,"Yes, Wi-Fi 802.11, ac/b/g/n/n 5GHz","Yes, v5.0","Yes with A-GPS, Glonass",,Yes,Yes,Yes,"Yes, Splash proof",,
Xiaomi,"6,999","September 4, 2020 (Official)",Android v10 (Q),"Octa core, 2 GHz, Cortex A53",64 bit,"2 GB
                                                                                        
             








Very Good            
▾",IPS LCD,6.53 inches (16.59 cm),81.08 %,"Yes, Capacitive Touchscreen, Multi-touch",,"164.9 mm
                                                                                                                                                Compare Size",77 mm,"9 mm
                                                                                                                                                                                    
             








Good            
▾","194 grams
                                                                                                                                                                                    
             








Below Average            
▾",,Single,Yes,"Yes, LED Flash",4128 x 3096 Pixels,5000 mAh,Li-Polymer,No,,No,"32 GB
                                                                                        
             








Excellent            
▾","Yes, Up to 512 GB",,eMMC 5.1,"Dual SIM, GSM+GSM","4G (supports Indian bands), 3G, 2G",Yes,"Yes, Wi-Fi 802.11, a/b/g/n","Yes, v5.0","Yes with A-GPS, Glonass",,,Yes,No,"Yes, Splash proof",,
Vivo,"12,494","August 28, 2020 (Official)",Android v10 (Q),"Octa core (1.8 GHz, Quad core, Kryo 240 + 1.6 GHz, Quad core, Kryo 240)",64 bit,"4 GB
                                                                                        
             








Excellent            
▾",IPS LCD,6.51 inches (16.54 cm),81.57 %,"Yes, Capacitive Touchscreen, Multi-touch",,"164.4 mm
                                                                                                                                                Compare Size",76.3 mm,"8.4 mm
                                                                                                                                                                                    
             








Very Good            
▾","192.3 grams
                                                                                                                                                                                    
             








Below Average            
▾",Back: Plastic,Single,"Yes, Phase Detection autofocus","Yes, Screen flash",4128 x 3096 Pixels,5000 mAh,Li-ion,No,"Yes, Fast, 18W",No,"64 GB
                                                                                        
             








Best in Class            
▾","Yes, Up to 256 GB",,eMMC 5.1,"Dual SIM, GSM+GSM","4G (supports Indian bands), 3G, 2G",Yes,"Yes, Wi-Fi 802.11, ac/b/g/n/n 5GHz","Yes, v5.0","Yes with A-GPS, Glonass",No,Yes,Yes,Yes,,,
Xiaomi,"11,999","July 24, 2020 (Official)",Android v10 (Q),"Octa core (2 GHz, Dual core, Cortex A75 + 2 GHz, Hexa Core, Cortex A55)",64 bit,"4 GB
                                                                                        
             








Excellent            
▾",IPS LCD,6.53 inches (16.59 cm),84.37 %,"Yes, Capacitive Touchscreen, Multi-touch",60 Hz,"161.4 mm
                                                                                                                                                Compare Size",76.7 mm,"8.7 mm
                                                                                                                                                                                    
             








Good            
▾","200 grams
                                                                                                                                                                                    
             








Poor            
▾",,Single,"Yes, Phase Detection autofocus","Yes, LED Flash",8000 x 6000 Pixels,5020 mAh,Li-ion,No,"Yes, Fast, 22.5W",Yes,"64 GB
                                                                                        
             








Best in Class            
▾","Yes, Up to 512 GB",,eMMC 5.1,"Dual SIM, GSM+GSM","4G (supports Indian bands), 3G, 2G",Yes,"Yes, Wi-Fi 802.11, a/b/g/n","Yes, v5.0","Yes with A-GPS, Glonass",,,Yes,Yes,"Yes, Splash proof",,
Xiaomi,"13,999","March 16, 2021 (Official)",Android v11,"Octa core (2.2 GHz, Dual core, Kryo 460 + 1.7 GHz, Hexa Core, Kryo 460)",64 bit,"6 GB
                                                                                        
             








Best in Class            
▾",Super AMOLED,6.43 inches (16.33 cm),83.53 %,"Yes, Capacitive Touchscreen, Multi-touch",,"160.4 mm
                                                                                                                                                Compare Size",74.5 mm,"8.3 mm
                                                                                                                                                                                    
             








Very Good            
▾","178.8 grams
                                                                                                                                                                                    
             








Average            
▾",,Single,Yes,"Yes, LED Flash",8000 x 6000 Pixels,5000 mAh,Li-Polymer,No,"Yes, Fast, 33W: 100 % in 74 minutes",Yes,"128 GB
                                                                                        
             








Best in Class            
▾","Yes, Up to 512 GB",,UFS 2.2,"Dual SIM, GSM+GSM, Dual VoLTE","4G (supports Indian bands), 3G, 2G",Yes,"Yes, Wi-Fi 802.11, a/ac/b/g/n","Yes, v5.0","Yes with A-GPS, Glonass",No,,Yes,Yes,"Yes, Splash proof, IP53",,
Realme,"14,999","September 3, 2020 (Official)",Android v10 (Q),"Octa core (2.05 GHz, Dual core, Cortex A76 + 2 GHz, Hexa Core, Cortex A55)",64 bit,"6 GB
                                                                                        
             








Best in Class            
▾",IPS LCD,6.5 inches (16.51 cm),83.36 %,"Yes, Capacitive Touchscreen, Multi-touch",90 Hz,"162.3 mm
                                                                                                                                                Compare Size",75.4 mm,"9.4 mm
                                                                                                                                                                                    
             








Average            
▾","196.5 grams
                                                                                                                                                                                    
             








Below Average            
▾",,Single,"Yes, Phase Detection autofocus","Yes, LED Flash",9000 x 7000 Pixels,5000 mAh,Li-ion,No,"Yes, Super Dart, 30W: 50 % in 26 minutes",Yes,"64 GB
                                                                                        
             








Best in Class            
▾","Yes, Up to 256 GB",,UFS 2.1,"Dual SIM, GSM+GSM","4G (supports Indian bands), 3G, 2G",Yes,"Yes, Wi-Fi 802.11, a/ac/b/g/n","Yes, v5.0","Yes with A-GPS, Glonass",,No,Yes,Yes,,,
Samsung,"11,999","July 26, 2021 (Official)",Android v11,"Octa core (2.3 GHz, Quad core, Cortex A73 + 1.7 GHz, Quad core, Cortex A53)",64 bit,"4 GB
                                                                                        
             








Excellent            
▾",Super AMOLED,6.4 inches (16.26 cm),84.02 %,"Yes, Capacitive Touchscreen, Multi-touch",60 Hz,"159 mm
                                                                                                                                                Compare Size",75.1 mm,"8.9 mm
                                                                                                                                                                                    
             








Good            
▾","192 grams
                                                                                                                                                                                    
             








Below Average            
▾",Back: Plastic,Single,No,No,8000 x 6000 Pixels,6000 mAh,Li-ion,No,"Yes, Fast, 15W",Yes,"64 GB
                                                                                        
             








Best in Class            
▾","Yes, Up to 512 GB",Up to 48.6 GB,UFS 2.1,"Dual SIM, GSM+GSM","4G (supports Indian bands), 3G, 2G",Yes,"Yes, Wi-Fi 802.11, a/ac/b/g/n/n 5GHz","Yes, v5.0","Yes with A-GPS, Glonass",No,,Yes,Yes,,,
Xiaomi,"21,999","June 25, 2021 (Official)",Android v11,"Octa core (2.3 GHz, Dual core, Kryo 470 + 1.7 GHz, Hexa Core, Kryo 470)",64 bit,"6 GB
                                                                                        
             








Best in Class            
▾",AMOLED,6.55 inches (16.64 cm),85.25 %,"Yes, Capacitive Touchscreen, Multi-touch",90 Hz,"160.5 mm
                                                                                                                                                Compare Size",75.7 mm,"6.9 mm
                                                                                                                                                                                    
             








Excellent            
▾","157 grams
                                                                                                                                                                                    
             








Good            
▾",,Single,Yes,"Yes, Screen flash",9000 x 7000 Pixels,4250 mAh,Li-Polymer,No,"Yes, Fast, 33W: 62 % in 30 minutes",Yes,"128 GB
                                                                                        
             








Best in Class            
▾","Yes, Up to 512 GB",,UFS 2.2,"Dual SIM, GSM+GSM","4G (supports Indian bands), 3G, 2G",Yes,"Yes, Wi-Fi 802.11, a/ac/b/g/n, MIMO","Yes, v5.1","Yes with A-GPS, Glonass",Yes,No,Yes,Yes,"Yes, Splash proof, IP53",,
POCO,"7,499","October 6, 2020 (Official)",Android v10 (Q),"Octa core, 2.3 GHz, Cortex A53",64 bit,"3 GB
                                                                                        
             








Excellent            
▾",IPS LCD,6.53 inches (16.59 cm),81.08 %,,,"164.9 mm
                                                                                                                                                Compare Size",77 mm,"9 mm
                                                                                                                                                                                    
             








Good            
▾","194 grams
                                                                                                                                                                                    
             








Below Average            
▾",,Single,"Yes, Phase Detection autofocus","Yes, Screen flash",4128 x 3096 Pixels,5000 mAh,Li-Polymer,No,,No,"32 GB
                                                                                        
             








Excellent            
▾","Yes, Up to 512 GB",,eMMC 5.1,"Dual SIM, GSM+GSM","4G (supports Indian bands), 3G, 2G",Yes,"Yes, Wi-Fi 802.11, a/b/g/n","Yes, v5.0","Yes with A-GPS, Glonass",No,,Yes,No,"Yes, Splash proof",,
OPPO,"13,390","April 20, 2021 (Official)",Android v10 (Q),"Octa core, 2.3 GHz, Cortex A53",64 bit,"4 GB
                                                                                        
             








Excellent            
▾",IPS LCD,6.51 inches (16.54 cm),82.62 %,"Yes, Capacitive Touchscreen, Multi-touch",60 Hz,"163.6 mm
                                                                                                                                                Compare Size",75.7 mm,"8.4 mm
                                                                                                                                                                                    
             








Very Good            
▾","192 grams
                                                                                                                                                                                    
             








Below Average            
▾",,Single,Yes,"Yes, LED Flash",4128 x 3096 Pixels,5000 mAh,Li-Polymer,No,"Yes, Fast, 18W",Yes,"64 GB
                                                                                        
             








Best in Class            
▾","Yes, Up to 256 GB",,eMMC 5.1,"Dual SIM, GSM+GSM","4G (supports Indian bands), 3G, 2G",Yes,"Yes, Wi-Fi 802.11, b/g/n","Yes, v5.0","Yes with A-GPS, Glonass",No,Yes,Yes,Yes,"Yes, Splash proof, IPX4",,
POCO,"11,999","July 14, 2020 (Official)",Android v10 (Q),"Octa core (2.3 GHz, Dual core, Kryo 465 + 1.8 GHz, Hexa Core, Kryo 465)",64 bit,"4 GB
                                                                                        
             








Excellent            
▾",IPS LCD,6.67 inches (16.94 cm),84.62 %,"Yes, Capacitive Touchscreen, Multi-touch",60 Hz,"165.7 mm
                                                                                                                                                Compare Size",76.6 mm,"8.8 mm
                                                                                                                                                                                    
             








Good            
▾","209 grams
                                                                                                                                                                                    
             








Poor            
▾",Back: Gorilla Glass,Single,"Yes, Phase Detection autofocus, Dual Pixel autofocus","Yes, LED Flash",8000 x 6000 Pixels,5000 mAh,Li-Polymer,No,"Yes, Fast, 33W: 50 % in 30 minutes",Yes,"64 GB
                                                                                        
             








Best in Class            
▾","Yes, Up to 512 GB",Up to 44 GB,UFS 2.1,"Dual SIM, GSM+GSM","4G (supports Indian bands), 3G, 2G",Yes,"Yes, Wi-Fi 802.11, ac/b/g/n/n 5GHz, MIMO","Yes, v5.0","Yes with A-GPS, Glonass",No,"Yes, Recording option",Yes,Yes,"Yes, Splash proof",,
Tecno,"10,499","August 4, 2021 (Official)",Android v11,"Octa core (2 GHz, Dual core, Cortex A75 + 1.8 GHz, Hexa Core, Cortex A55)",64 bit,"4 GB
                                                                                        
             








Excellent            
▾",IPS LCD,6.95 inches (17.65 cm),84.23 %,"Yes, Capacitive Touchscreen, Multi-touch",60 Hz,"173.3 mm
                                                                                                                                                Compare Size",78.7 mm,"9.6 mm
                                                                                                                                                                                    
             








Average            
▾",,Back: Plastic,Single,Yes,"Yes, Dual LED",8000 x 6000 Pixels,7000 mAh,Li-Polymer,No,"Yes, Flash, 18W",Yes,"64 GB
                                                                                        
             








Best in Class            
▾","Yes, Up to 256 GB",,,"Dual SIM, GSM+GSM","4G (supports Indian bands), 3G, 2G",Yes,"Yes, Wi-Fi 802.11, ac/b/g/n/n 5GHz","Yes, v5.0","Yes with A-GPS, Glonass",No,Yes,Yes,Yes,,,
